id,column_id,serial_number,model,atype,status,installation_date,last_inspection_date,inspection_certificate,information,notes,created_at,updated_at
17,17,2782,Premium,Residential,Active,18/9/2018,5/9/2018,Certified,Look at me,This is a note,11/22/2018,6/4/2018
18,18,8279,Standard,Corporate,Active,21/8/2018,24/7/2018,Certified,Best 0-100 mph,Long note,2/26/2019,4/20/2018
19,19,3438,Standard,Commercial,Active,21/11/2018,20/10/2018,Certified,Best 0-100 mph,This is a note,2/23/2019,2/26/2019
20,20,8517,Excelium,Hybrid,Active,16/5/2018,7/3/2019,Certified,Best 0-100 mph,Useless note,12/26/2018,1/4/2019
21,13,9744,Excelium,Residential,Active,7/11/2018,14/9/2018,Certified,Best 0-100 mph,This is a note,8/7/2018,12/6/2018
22,21,6110,Standard,Corporate,Active,27/2/2019,11/3/2019,Certified,Shinny elevator,Not an interesting note,11/13/2018,5/21/2018
23,22,9193,Premium,Commercial,Active,17/11/2018,23/12/2018,Certified,Best 0-100 mph,Not an interesting note,12/7/2018,8/27/2018
24,142,6614,Excelium,Hybrid,Active,18/11/2018,22/4/2018,Certified,Look at me,Not an interesting note,12/27/2018,3/11/2019
25,3,1858,Premium,Residential,Active,19/11/2018,7/10/2018,Certified,Shinny elevator,This is a note,12/14/2018,2/4/2019
26,6,7184,Premium,Corporate,Active,29/5/2018,29/5/2018,Certified,This in an interesting information,Long note,12/5/2018,5/5/2018
27,277,1122,Standard,Commercial,Active,12/4/2018,25/3/2018,Not Certified,Look at me,Not an interesting note,8/24/2018,8/4/2018
28,165,5389,Standard,Hybrid,Active,7/8/2018,16/11/2018,Certified,This in an interesting information,Long note,3/29/2018,5/11/2018
29,237,1422,Excelium,Residential,Active,16/1/2019,3/3/2019,Certified,Shinny elevator,This is a note,10/20/2018,11/27/2018
30,17,7151,Premium,Corporate,Active,3/4/2018,12/11/2018,Certified,Best 0-100 mph,Useless note,11/26/2018,9/9/2018
31,338,9010,Premium,Commercial,Active,19/5/2018,15/8/2018,Certified,Best 0-100 mph,Useless note,10/14/2018,2/15/2019
32,78,1567,Excelium,Hybrid,Active,7/9/2018,3/12/2018,Certified,Best 0-100 mph,Not an interesting note,7/16/2018,4/15/2018
33,414,4200,Premium,Residential,Active,20/10/2018,28/8/2018,Not Certified,Look at me,Long note,9/2/2018,8/4/2018
34,23,4760,Premium,Corporate,Active,18/11/2018,17/4/2018,Certified,Nice music,Not an interesting note,2/7/2019,7/17/2018
35,182,6609,Excelium,Commercial,Active,29/1/2019,15/2/2019,Certified,Best 0-100 mph,Useless note,7/13/2018,12/15/2018
36,465,9645,Premium,Hybrid,Active,25/5/2018,1/3/2019,Not Certified,Nice music,This is a note,8/19/2018,4/22/2018
37,10,9141,Premium,Residential,Active,1/10/2018,9/1/2019,Certified,Best 0-100 mph,This is a note,9/27/2018,5/25/2018
38,24,1677,Excelium,Corporate,Active,18/9/2018,11/7/2018,Certified,Look at me,This is a note,6/2/2018,12/16/2018
39,460,7231,Standard,Commercial,Active,10/9/2018,26/1/2019,Certified,Nice music,This is a note,11/21/2018,4/16/2018
40,290,6537,Standard,Hybrid,Active,18/3/2018,22/8/2018,Certified,Look at me,This is a note,10/4/2018,1/19/2019
41,363,9774,Excelium,Residential,Active,4/6/2018,3/8/2018,Certified,This in an interesting information,This is a note,10/7/2018,10/8/2018
42,333,4676,Excelium,Corporate,Active,7/9/2018,27/10/2018,Certified,Shinny elevator,This is a note,5/30/2018,5/27/2018
43,233,7243,Premium,Commercial,Active,16/7/2018,31/8/2018,Certified,Best 0-100 mph,Useless note,10/17/2018,3/24/2018
44,453,2460,Premium,Hybrid,Active,12/6/2018,18/4/2018,Certified,Look at me,Long note,9/3/2018,3/22/2018
45,30,9007,Premium,Residential,Active,19/3/2018,16/7/2018,Certified,Nice music,This is a note,7/29/2018,5/19/2018
46,436,6720,Premium,Corporate,Active,21/10/2018,24/3/2018,Certified,Shinny elevator,Not an interesting note,6/16/2018,3/26/2018
47,111,7810,Standard,Commercial,Active,18/3/2018,19/5/2018,Not Certified,Look at me,Long note,5/24/2018,12/3/2018
48,162,8067,Excelium,Hybrid,Active,22/2/2019,3/10/2018,Certified,Best 0-100 mph,Long note,5/24/2018,5/21/2018
49,290,3153,Standard,Residential,Active,15/9/2018,9/12/2018,Certified,Look at me,Long note,4/30/2018,5/1/2018
50,340,7066,Standard,Corporate,Active,5/5/2018,19/1/2019,Certified,This in an interesting information,This is a note,10/19/2018,6/7/2018
51,109,9981,Standard,Commercial,Active,26/7/2018,12/10/2018,Certified,Best 0-100 mph,Useless note,12/20/2018,12/7/2018
52,228,9565,Premium,Hybrid,Active,3/10/2018,18/5/2018,Certified,This in an interesting information,Not an interesting note,4/16/2018,7/29/2018
53,371,8973,Standard,Residential,Active,18/1/2019,9/6/2018,Certified,Best 0-100 mph,Long note,10/18/2018,8/29/2018
54,202,1908,Excelium,Corporate,Active,9/2/2019,12/8/2018,Certified,Look at me,Long note,10/26/2018,6/3/2018
55,172,4011,Excelium,Commercial,Active,12/1/2019,26/8/2018,Certified,Best 0-100 mph,Not an interesting note,9/12/2018,10/30/2018
56,440,8570,Premium,Hybrid,Active,9/4/2018,30/5/2018,Certified,This in an interesting information,This is a note,10/28/2018,7/31/2018
57,310,5519,Premium,Residential,Active,27/3/2018,5/6/2018,Certified,This in an interesting information,Not an interesting note,12/4/2018,12/5/2018
58,437,9988,Premium,Corporate,Active,8/12/2018,10/1/2019,Certified,Nice music,Useless note,10/30/2018,9/20/2018
59,408,7223,Standard,Commercial,Active,6/8/2018,22/10/2018,Certified,Nice music,Long note,1/27/2019,5/30/2018
60,399,3757,Premium,Hybrid,Active,31/12/2018,25/3/2018,Certified,Shinny elevator,Useless note,6/1/2018,2/24/2019
61,191,8112,Standard,Residential,Active,29/3/2018,22/10/2018,Certified,Look at me,Long note,6/2/2018,8/16/2018
62,448,1122,Premium,Corporate,Active,15/6/2018,22/9/2018,Certified,Nice music,This is a note,7/10/2018,2/16/2019
63,116,6908,Excelium,Commercial,Active,13/6/2018,15/3/2018,Certified,Best 0-100 mph,Useless note,6/20/2018,2/18/2019
64,63,4618,Premium,Hybrid,Active,12/7/2018,30/8/2018,Certified,Look at me,Not an interesting note,7/25/2018,6/19/2018
65,356,5436,Premium,Residential,Active,11/9/2018,30/4/2018,Certified,Look at me,Not an interesting note,9/8/2018,10/9/2018
66,235,1147,Premium,Corporate,Active,11/2/2019,10/10/2018,Certified,Shinny elevator,Long note,5/7/2018,5/20/2018
67,277,1186,Excelium,Commercial,Active,17/8/2018,8/2/2019,Certified,This in an interesting information,Useless note,4/27/2018,3/15/2018
68,497,7611,Premium,Hybrid,Active,20/12/2018,9/1/2019,Certified,Nice music,This is a note,10/21/2018,8/26/2018
69,360,8201,Standard,Residential,Active,28/2/2019,29/3/2018,Certified,This in an interesting information,Useless note,7/12/2018,7/4/2018
70,144,6493,Standard,Corporate,Active,24/9/2018,21/8/2018,Certified,This in an interesting information,Long note,11/7/2018,5/2/2018
71,220,7700,Standard,Commercial,Active,2/4/2018,23/8/2018,Certified,Shinny elevator,Useless note,10/31/2018,5/22/2018
72,154,9376,Premium,Hybrid,Active,3/9/2018,29/8/2018,Certified,Best 0-100 mph,This is a note,3/25/2018,7/25/2018
73,195,6073,Excelium,Residential,Active,26/12/2018,10/12/2018,Certified,Nice music,This is a note,1/20/2019,12/10/2018
74,98,2687,Premium,Corporate,Active,19/5/2018,25/9/2018,Certified,Nice music,Not an interesting note,3/4/2019,7/4/2018
75,334,8133,Excelium,Commercial,Active,21/11/2018,28/8/2018,Certified,Nice music,Long note,9/3/2018,3/11/2019
76,251,6033,Premium,Hybrid,Active,23/10/2018,3/4/2018,Certified,This in an interesting information,Not an interesting note,3/19/2018,4/23/2018
77,155,1821,Excelium,Residential,Active,29/4/2018,11/3/2019,Certified,Best 0-100 mph,Useless note,3/10/2019,2/10/2019
78,204,7942,Excelium,Corporate,Active,25/1/2019,14/12/2018,Certified,This in an interesting information,Not an interesting note,10/27/2018,5/1/2018
79,344,7253,Standard,Commercial,Active,6/2/2019,3/4/2018,Certified,Shinny elevator,Not an interesting note,10/24/2018,2/3/2019
80,254,1993,Standard,Hybrid,Active,2/4/2018,5/1/2019,Certified,This in an interesting information,This is a note,2/5/2019,12/13/2018
81,197,5524,Premium,Residential,Active,8/1/2019,29/5/2018,Certified,Nice music,Not an interesting note,8/12/2018,9/15/2018
82,138,4006,Excelium,Corporate,Active,28/12/2018,17/7/2018,Certified,Look at me,Useless note,1/20/2019,12/29/2018
83,362,6921,Premium,Commercial,Active,24/1/2019,18/12/2018,Certified,Shinny elevator,Long note,8/20/2018,1/20/2019
84,483,6516,Standard,Hybrid,Active,14/3/2018,26/1/2019,Certified,Best 0-100 mph,This is a note,3/30/2018,7/1/2018
85,161,7805,Excelium,Residential,Active,22/8/2018,4/4/2018,Certified,Nice music,Useless note,5/26/2018,11/27/2018
86,7,1421,Excelium,Corporate,Active,25/2/2019,5/8/2018,Certified,This in an interesting information,Useless note,12/11/2018,3/29/2018
87,316,7110,Excelium,Commercial,Active,11/7/2018,15/1/2019,Certified,Nice music,This is a note,7/12/2018,8/15/2018
88,240,6965,Standard,Hybrid,Active,26/3/2018,29/12/2018,Certified,Nice music,This is a note,7/25/2018,12/13/2018
89,293,5319,Standard,Residential,Active,1/9/2018,4/12/2018,Certified,Nice music,Not an interesting note,7/5/2018,12/2/2018
90,158,3351,Standard,Corporate,Active,27/11/2018,17/1/2019,Certified,Best 0-100 mph,Not an interesting note,5/2/2018,5/17/2018
91,373,6936,Excelium,Commercial,Active,14/5/2018,26/7/2018,Certified,Look at me,Useless note,6/11/2018,6/12/2018
92,54,1877,Standard,Hybrid,Active,18/1/2019,28/6/2018,Certified,Shinny elevator,Not an interesting note,1/17/2019,4/26/2018
93,157,7492,Standard,Residential,Active,31/1/2019,11/5/2018,Certified,Nice music,This is a note,9/24/2018,10/8/2018
94,72,1875,Premium,Corporate,Active,10/11/2018,8/11/2018,Certified,Shinny elevator,Long note,3/4/2019,10/9/2018
95,459,1350,Excelium,Commercial,Active,11/4/2018,3/6/2018,Certified,This in an interesting information,Not an interesting note,9/25/2018,9/21/2018
96,50,8064,Excelium,Hybrid,Active,10/8/2018,28/2/2019,Certified,Nice music,Long note,8/9/2018,7/3/2018
97,475,2972,Premium,Residential,Active,14/2/2019,15/7/2018,Certified,Shinny elevator,Not an interesting note,12/31/2018,3/17/2018
98,118,4991,Premium,Corporate,Active,27/2/2019,12/11/2018,Certified,Best 0-100 mph,Useless note,3/29/2018,10/14/2018
99,341,5185,Standard,Commercial,Active,27/9/2018,13/5/2018,Certified,Look at me,This is a note,1/19/2019,3/27/2018
100,419,1458,Premium,Hybrid,Active,20/4/2018,24/4/2018,Certified,Shinny elevator,This is a note,8/20/2018,6/24/2018
101,250,4170,Standard,Residential,Active,20/7/2018,9/8/2018,Certified,Shinny elevator,Not an interesting note,12/2/2018,9/9/2018
102,451,9007,Premium,Corporate,Active,9/11/2018,8/7/2018,Certified,Nice music,Not an interesting note,4/12/2018,1/11/2019
103,4,5262,Excelium,Commercial,Active,9/3/2019,29/12/2018,Certified,Look at me,Useless note,11/3/2018,7/7/2018
104,486,5333,Excelium,Hybrid,Active,14/2/2019,11/3/2019,Certified,This in an interesting information,Not an interesting note,11/5/2018,8/25/2018
105,434,3744,Standard,Residential,Active,8/7/2018,22/8/2018,Certified,Look at me,Not an interesting note,6/26/2018,8/1/2018
106,469,2565,Premium,Corporate,Active,2/9/2018,15/10/2018,Certified,Nice music,Long note,5/15/2018,2/7/2019
107,431,9292,Excelium,Commercial,Active,6/8/2018,10/11/2018,Certified,Shinny elevator,Long note,12/16/2018,1/26/2019
108,252,9394,Premium,Hybrid,Active,29/12/2018,8/10/2018,Certified,Nice music,This is a note,7/25/2018,6/28/2018
109,476,2041,Premium,Residential,Active,20/4/2018,12/7/2018,Certified,This in an interesting information,Useless note,2/8/2019,9/3/2018
110,466,9818,Excelium,Corporate,Active,16/11/2018,28/4/2018,Certified,Nice music,This is a note,11/12/2018,11/23/2018
111,399,7083,Premium,Commercial,Active,27/10/2018,15/10/2018,Certified,Best 0-100 mph,Long note,7/2/2018,4/25/2018
112,467,9627,Premium,Hybrid,Active,8/2/2019,22/7/2018,Certified,Look at me,Long note,4/29/2018,6/9/2018
113,137,3156,Standard,Residential,Active,5/12/2018,10/9/2018,Certified,Nice music,This is a note,10/4/2018,11/10/2018
114,186,2867,Standard,Corporate,Active,3/11/2018,30/4/2018,Certified,Best 0-100 mph,Not an interesting note,1/27/2019,2/13/2019
115,265,3481,Excelium,Commercial,Active,15/2/2019,20/10/2018,Not Certified,Nice music,Not an interesting note,10/18/2018,2/2/2019
116,62,9795,Premium,Hybrid,Active,23/10/2018,11/3/2019,Certified,Nice music,Useless note,3/12/2019,7/9/2018
117,140,8564,Standard,Residential,Active,16/1/2019,5/4/2018,Certified,Shinny elevator,Useless note,6/12/2018,1/29/2019
118,415,7192,Standard,Corporate,Active,19/9/2018,9/2/2019,Not Certified,Best 0-100 mph,Useless note,3/31/2018,7/9/2018
119,290,6799,Premium,Commercial,Active,6/11/2018,20/2/2019,Not Certified,Shinny elevator,This is a note,6/27/2018,11/5/2018
120,20,9366,Premium,Hybrid,Active,21/2/2019,6/10/2018,Certified,Look at me,Long note,9/15/2018,9/15/2018
121,407,2767,Excelium,Residential,Active,14/12/2018,19/10/2018,Certified,Best 0-100 mph,Useless note,2/18/2019,5/23/2018
122,369,7159,Standard,Corporate,Active,5/2/2019,12/9/2018,Certified,This in an interesting information,This is a note,9/18/2018,4/6/2018
123,461,3633,Standard,Commercial,Active,8/1/2019,2/4/2018,Not Certified,Best 0-100 mph,Useless note,8/3/2018,8/15/2018
124,46,5384,Premium,Hybrid,Active,20/6/2018,18/9/2018,Certified,Shinny elevator,Useless note,9/5/2018,11/11/2018
125,237,9184,Standard,Residential,Active,9/3/2019,3/4/2018,Certified,Best 0-100 mph,Useless note,10/25/2018,3/25/2018
126,29,6184,Excelium,Corporate,Active,1/3/2019,20/3/2018,Certified,Look at me,Long note,4/22/2018,5/16/2018
127,481,5059,Premium,Commercial,Active,8/7/2018,27/5/2018,Certified,Look at me,This is a note,3/29/2018,8/18/2018
128,21,6206,Standard,Hybrid,Active,31/3/2018,27/8/2018,Certified,This in an interesting information,Useless note,11/13/2018,7/29/2018
129,322,3405,Premium,Residential,Active,14/1/2019,29/9/2018,Not Certified,This in an interesting information,This is a note,1/31/2019,4/5/2018
130,168,6695,Standard,Corporate,Active,8/10/2018,11/9/2018,Certified,This in an interesting information,This is a note,6/22/2018,11/22/2018
131,349,6288,Premium,Commercial,Active,7/3/2019,18/2/2019,Certified,Best 0-100 mph,Long note,5/12/2018,5/16/2018
132,115,4830,Excelium,Hybrid,Active,23/12/2018,7/4/2018,Certified,Look at me,Not an interesting note,5/11/2018,6/4/2018
133,44,5817,Premium,Residential,Active,16/6/2018,27/6/2018,Certified,Shinny elevator,Long note,10/28/2018,12/26/2018
134,183,2930,Premium,Corporate,Active,26/10/2018,5/2/2019,Certified,Shinny elevator,Useless note,2/2/2019,11/16/2018
135,340,2033,Standard,Commercial,Active,18/4/2018,3/12/2018,Certified,This in an interesting information,This is a note,5/30/2018,2/17/2019
136,75,8702,Premium,Hybrid,Active,30/4/2018,13/3/2018,Certified,Shinny elevator,This is a note,4/19/2018,9/24/2018
137,411,8977,Standard,Residential,Active,5/9/2018,9/12/2018,Certified,Shinny elevator,This is a note,1/23/2019,5/24/2018
138,459,3744,Premium,Corporate,Active,13/5/2018,26/12/2018,Certified,This in an interesting information,Not an interesting note,12/23/2018,10/18/2018
139,209,5793,Excelium,Commercial,Active,9/2/2019,7/4/2018,Certified,Look at me,Useless note,10/30/2018,10/9/2018
140,372,9411,Standard,Hybrid,Active,19/3/2018,8/5/2018,Certified,Shinny elevator,This is a note,9/22/2018,1/10/2019
141,36,10000,Premium,Residential,Active,24/6/2018,9/2/2019,Certified,Look at me,This is a note,11/6/2018,5/22/2018
142,460,3766,Excelium,Corporate,Active,3/11/2018,15/2/2019,Certified,Nice music,This is a note,4/7/2018,3/20/2018
143,177,5504,Excelium,Commercial,Active,2/12/2018,20/2/2019,Certified,Shinny elevator,Long note,11/16/2018,2/27/2019
144,433,3140,Standard,Hybrid,Active,19/12/2018,26/11/2018,Certified,Look at me,This is a note,6/25/2018,5/29/2018
145,376,3175,Premium,Residential,Active,23/2/2019,8/1/2019,Certified,Shinny elevator,Not an interesting note,9/13/2018,11/22/2018
146,184,6132,Excelium,Corporate,Active,5/4/2018,24/1/2019,Certified,This in an interesting information,Useless note,8/23/2018,1/18/2019
147,416,8916,Excelium,Commercial,Active,4/1/2019,10/8/2018,Certified,This in an interesting information,Not an interesting note,5/23/2018,12/12/2018
148,52,1427,Standard,Hybrid,Active,9/3/2019,9/10/2018,Certified,Look at me,Long note,9/17/2018,10/9/2018
149,141,2883,Premium,Residential,Active,15/9/2018,19/6/2018,Not Certified,Shinny elevator,Not an interesting note,3/24/2018,4/25/2018
150,379,3796,Standard,Corporate,Active,14/11/2018,4/7/2018,Certified,This in an interesting information,This is a note,5/4/2018,2/3/2019
151,341,1461,Standard,Commercial,Active,28/10/2018,30/3/2018,Certified,Look at me,This is a note,3/3/2019,12/6/2018
152,466,9315,Excelium,Hybrid,Active,16/2/2019,10/9/2018,Certified,Nice music,This is a note,7/26/2018,9/11/2018
153,436,4373,Standard,Residential,Active,11/3/2019,21/7/2018,Certified,Look at me,This is a note,8/16/2018,5/14/2018
154,350,8945,Standard,Corporate,Active,13/5/2018,11/8/2018,Certified,Shinny elevator,This is a note,12/6/2018,1/8/2019
155,109,5406,Premium,Commercial,Active,19/5/2018,14/7/2018,Certified,This in an interesting information,Useless note,4/29/2018,9/14/2018
156,246,1703,Standard,Hybrid,Active,23/4/2018,6/5/2018,Certified,This in an interesting information,Long note,12/16/2018,11/25/2018
157,116,6031,Premium,Residential,Active,18/10/2018,9/2/2019,Certified,Look at me,Long note,8/1/2018,3/12/2019
158,127,2642,Excelium,Corporate,Active,21/10/2018,28/9/2018,Certified,Nice music,Useless note,2/7/2019,3/3/2019
159,21,6411,Excelium,Commercial,Active,28/6/2018,10/7/2018,Certified,Shinny elevator,Useless note,12/10/2018,6/17/2018
160,332,7407,Premium,Hybrid,Active,14/9/2018,3/2/2019,Certified,Nice music,Useless note,12/25/2018,5/25/2018
161,327,3761,Excelium,Residential,Active,8/3/2019,14/2/2019,Certified,Look at me,This is a note,12/24/2018,12/24/2018
162,171,9714,Standard,Corporate,Active,6/6/2018,14/1/2019,Certified,Best 0-100 mph,Useless note,4/2/2018,2/21/2019
163,67,6085,Excelium,Commercial,Active,26/9/2018,4/10/2018,Certified,This in an interesting information,Not an interesting note,5/17/2018,5/3/2018
164,131,8182,Premium,Hybrid,Active,21/8/2018,5/8/2018,Certified,Best 0-100 mph,Long note,10/16/2018,1/16/2019
165,405,6721,Excelium,Residential,Active,29/6/2018,20/12/2018,Certified,Look at me,Long note,9/3/2018,3/14/2018
166,57,7941,Excelium,Corporate,Active,1/11/2018,11/6/2018,Certified,This in an interesting information,This is a note,9/25/2018,7/18/2018
167,441,8454,Premium,Commercial,Active,20/2/2019,9/4/2018,Certified,This in an interesting information,Not an interesting note,10/17/2018,10/18/2018
168,411,3799,Standard,Hybrid,Active,23/4/2018,5/7/2018,Certified,Look at me,Long note,7/2/2018,12/18/2018
169,26,4479,Excelium,Residential,Active,3/8/2018,28/12/2018,Certified,Nice music,This is a note,4/2/2018,10/15/2018
170,158,2386,Standard,Corporate,Active,30/12/2018,12/4/2018,Certified,Nice music,Long note,7/20/2018,8/2/2018
171,180,9717,Excelium,Commercial,Active,17/9/2018,26/3/2018,Certified,This in an interesting information,Useless note,6/7/2018,2/5/2019
172,357,9178,Standard,Hybrid,Active,25/9/2018,28/10/2018,Certified,Look at me,This is a note,4/2/2018,7/29/2018
173,294,2755,Standard,Residential,Active,23/11/2018,19/5/2018,Certified,Shinny elevator,Long note,1/26/2019,1/27/2019
174,38,9795,Standard,Corporate,Active,30/7/2018,26/4/2018,Certified,Shinny elevator,Long note,11/3/2018,8/25/2018
175,333,2030,Excelium,Commercial,Active,12/7/2018,22/12/2018,Certified,This in an interesting information,This is a note,9/20/2018,1/4/2019
176,118,3430,Standard,Hybrid,Active,25/5/2018,3/1/2019,Certified,Nice music,Not an interesting note,11/15/2018,2/15/2019
177,303,7317,Standard,Residential,Active,25/10/2018,15/7/2018,Certified,Best 0-100 mph,Long note,10/20/2018,6/25/2018
178,234,2367,Premium,Corporate,Active,29/3/2018,15/7/2018,Certified,Nice music,Useless note,5/6/2018,8/30/2018
179,363,3428,Premium,Commercial,Active,25/8/2018,11/6/2018,Certified,Look at me,Not an interesting note,3/1/2019,4/14/2018
180,265,2023,Standard,Hybrid,Active,14/5/2018,4/3/2019,Certified,Best 0-100 mph,Long note,4/17/2018,10/7/2018
181,248,6452,Excelium,Residential,Active,28/9/2018,2/12/2018,Certified,This in an interesting information,Useless note,12/14/2018,9/21/2018
182,498,1987,Premium,Corporate,Active,2/10/2018,7/2/2019,Certified,Best 0-100 mph,Useless note,12/15/2018,10/14/2018
183,69,9379,Premium,Commercial,Active,7/10/2018,6/11/2018,Certified,Nice music,Long note,1/24/2019,11/9/2018
184,51,3785,Standard,Hybrid,Active,30/6/2018,17/8/2018,Certified,Nice music,Not an interesting note,10/3/2018,9/30/2018
185,194,2818,Standard,Residential,Active,5/1/2019,25/10/2018,Certified,This in an interesting information,Not an interesting note,5/2/2018,10/6/2018
186,333,1814,Premium,Corporate,Active,4/6/2018,9/3/2019,Certified,This in an interesting information,Long note,2/28/2019,9/7/2018
187,476,5115,Standard,Commercial,Active,11/6/2018,21/5/2018,Certified,Look at me,Long note,6/17/2018,11/13/2018
188,75,8042,Premium,Hybrid,Active,2/12/2018,5/10/2018,Certified,Nice music,This is a note,8/11/2018,10/15/2018
189,239,8303,Standard,Residential,Active,19/4/2018,30/5/2018,Certified,Look at me,This is a note,9/24/2018,11/2/2018
190,58,4647,Standard,Corporate,Active,11/11/2018,16/3/2018,Certified,Look at me,This is a note,5/9/2018,2/1/2019
191,17,1349,Premium,Commercial,Active,11/9/2018,22/6/2018,Certified,Shinny elevator,Useless note,6/20/2018,5/30/2018
192,312,6638,Excelium,Hybrid,Active,5/7/2018,2/11/2018,Certified,Best 0-100 mph,Long note,1/26/2019,10/12/2018
193,286,3271,Standard,Residential,Active,9/4/2018,26/5/2018,Certified,Look at me,This is a note,2/11/2019,12/9/2018
194,385,3571,Standard,Corporate,Active,1/4/2018,5/4/2018,Certified,Shinny elevator,Not an interesting note,12/16/2018,4/5/2018
195,132,8884,Excelium,Commercial,Active,22/12/2018,30/11/2018,Certified,Shinny elevator,Useless note,10/19/2018,2/3/2019
196,262,7959,Premium,Hybrid,Active,21/9/2018,10/10/2018,Certified,This in an interesting information,This is a note,7/14/2018,7/25/2018
197,25,4499,Standard,Residential,Active,22/6/2018,12/1/2019,Certified,This in an interesting information,Not an interesting note,8/26/2018,9/16/2018
198,456,3103,Premium,Corporate,Active,23/3/2018,28/3/2018,Certified,Nice music,Long note,5/24/2018,12/9/2018
199,359,5011,Standard,Commercial,Active,24/11/2018,16/12/2018,Certified,Best 0-100 mph,Useless note,2/11/2019,5/20/2018
200,414,7907,Excelium,Hybrid,Active,26/8/2018,25/4/2018,Certified,Look at me,Not an interesting note,2/7/2019,12/8/2018
201,460,4439,Premium,Residential,Active,27/1/2019,18/8/2018,Certified,This in an interesting information,Not an interesting note,7/19/2018,9/10/2018
202,46,8966,Premium,Corporate,Active,8/7/2018,4/4/2018,Not Certified,This in an interesting information,This is a note,7/7/2018,7/19/2018
203,415,6884,Premium,Commercial,Active,19/7/2018,15/8/2018,Certified,Look at me,Long note,9/12/2018,3/1/2019
204,305,8168,Excelium,Hybrid,Active,12/11/2018,11/12/2018,Certified,This in an interesting information,Not an interesting note,9/28/2018,11/7/2018
205,447,9352,Excelium,Residential,Active,16/5/2018,2/2/2019,Certified,Look at me,Not an interesting note,10/14/2018,11/15/2018
206,342,9155,Excelium,Corporate,Active,8/10/2018,25/2/2019,Certified,Shinny elevator,Long note,3/9/2019,9/1/2018
207,204,5120,Standard,Commercial,Active,6/7/2018,10/1/2019,Certified,Nice music,This is a note,3/22/2018,11/17/2018
208,13,4736,Premium,Hybrid,Active,9/2/2019,4/10/2018,Certified,Shinny elevator,Not an interesting note,6/5/2018,7/28/2018
209,265,3285,Excelium,Residential,Active,2/9/2018,3/11/2018,Certified,Shinny elevator,Useless note,7/4/2018,12/13/2018
210,500,7985,Excelium,Corporate,Active,27/5/2018,12/2/2019,Certified,This in an interesting information,Useless note,8/12/2018,7/19/2018
211,410,7400,Premium,Commercial,Active,7/2/2019,22/8/2018,Certified,Best 0-100 mph,Not an interesting note,2/9/2019,3/13/2018
212,462,8777,Premium,Hybrid,Active,3/12/2018,22/4/2018,Certified,Best 0-100 mph,This is a note,9/21/2018,4/14/2018
213,393,3273,Premium,Residential,Active,7/1/2019,1/5/2018,Not Certified,This in an interesting information,Not an interesting note,12/31/2018,8/24/2018
214,347,6296,Excelium,Corporate,Active,21/2/2019,9/2/2019,Certified,Shinny elevator,Not an interesting note,5/5/2018,4/23/2018
215,24,7708,Premium,Commercial,Active,5/3/2019,11/12/2018,Certified,Look at me,Not an interesting note,9/15/2018,6/27/2018
216,146,5072,Premium,Hybrid,Active,4/7/2018,1/8/2018,Certified,This in an interesting information,Long note,8/12/2018,8/11/2018
